model,rmse,mae
persistence,0.0006980663214081886,0.00035147528386573427
roll_mean_5,0.007215932694395242,0.006536407497129389
roll_mean_10,0.006771726766275037,0.00608595916207287
roll_mean_21,0.005746792917944465,0.005010502759291033
global_mean,0.00453554009841157,0.003476631410339933
