Date,rv_21,lstm_forecast
2021-03-30,0.0096868997463893,0.01053312
2021-03-31,0.0094902242986391,0.009479466
2021-04-01,0.0091512074381015,0.0091110235
2021-04-05,0.0087337594318721,0.008825286
2021-04-06,0.008020459146994,0.008409702
2021-04-07,0.0078082667759121,0.007692485
2021-04-08,0.007403846103066,0.0074114534
2021-04-09,0.0074508615992112,0.0070669847
2021-04-12,0.0072650748658927,0.0070858486
2021-04-13,0.0072630450964702,0.0069671585
2021-04-14,0.007327991091689,0.0069572693
2021-04-15,0.0075481440045539,0.007046234
2021-04-16,0.0075519415578099,0.0072868
2021-04-19,0.0066945604528117,0.0073448475
2021-04-20,0.0069896034826485,0.006549889
2021-04-21,0.0070772924132941,0.0066701593
2021-04-22,0.0072017280857388,0.0068616727
2021-04-23,0.0071614827666507,0.0070030405
2021-04-26,0.007157889816884,0.0069758515
2021-04-27,0.0065144000246317,0.006957075
2021-04-28,0.0065138243915233,0.006364928
2021-04-29,0.0064431391345386,0.006250787
2021-04-30,0.0068105512822813,0.0062223007
2021-05-03,0.0064691213936007,0.006564251
2021-05-04,0.0060812908414877,0.0063198665
2021-05-05,0.0060650284128908,0.0058816536
2021-05-06,0.006257515341957,0.0058079883
2021-05-07,0.006364427967161,0.0060168165
2021-05-10,0.0067141528082903,0.00616534
2021-05-11,0.0070200757484588,0.00649852
2021-05-12,0.0084531339806378,0.0068384
2021-05-13,0.0088763097820018,0.008206941
2021-05-14,0.0091479544422093,0.008853102
2021-05-17,0.0091264173153168,0.009105846
2021-05-18,0.0092427088002282,0.009076988
2021-05-19,0.0091462958690829,0.0091568045
2021-05-20,0.0092141358251079,0.009076376
2021-05-21,0.0089787236077027,0.009099824
2021-05-24,0.0089216284258671,0.00887141
2021-05-25,0.0089275902132855,0.008752577
2021-05-26,0.0089366513925823,0.008743541
2021-05-27,0.0089367209135566,0.00874936
2021-05-28,0.0088123929575649,0.008741876
2021-06-01,0.0086609306384966,0.008617621
2021-06-02,0.0086467598298751,0.008450039
2021-06-03,0.0085502124158749,0.0084169675
2021-06-04,0.0087483378626533,0.008336901
2021-06-07,0.0085848443361557,0.008510659
2021-06-08,0.0084310151398993,0.008400195
