model,rmse,mae
Transformer,0.0006933759423608,0.0003588396073833
persistence,0.0006980663214081,0.0003514752838657
LSTM,0.0007240047718017,0.000416672622637
global_mean,0.0045355400984115,0.0034766314103399
roll_mean_21,0.0057467929179444,0.005010502759291
roll_mean_10,0.006771726766275,0.0060859591620728
roll_mean_5,0.0072159326943952,0.0065364074971293
GARCH,0.0402435896258517,0.0372766850185475
