Date,rv_21,transformer_forecast
2021-03-30,0.0096868997463893,0.010821691
2021-03-31,0.0094902242986391,0.009657761
2021-04-01,0.0091512074381015,0.009456975
2021-04-05,0.0087337594318721,0.009116175
2021-04-06,0.008020459146994,0.008690313
2021-04-07,0.0078082667759121,0.0079754
2021-04-08,0.007403846103066,0.007760598
2021-04-09,0.0074508615992112,0.0073577967
2021-04-12,0.0072650748658927,0.007408214
2021-04-13,0.0072630450964702,0.0072283605
2021-04-14,0.007327991091689,0.0072316346
2021-04-15,0.0075481440045539,0.007305722
2021-04-16,0.0075519415578099,0.007531462
2021-04-19,0.0066945604528117,0.0075414605
2021-04-20,0.0069896034826485,0.0066811093
2021-04-21,0.0070772924132941,0.006984212
2021-04-22,0.0072017280857388,0.0070783137
2021-04-23,0.0071614827666507,0.0072072833
2021-04-26,0.007157889816884,0.0071731834
2021-04-27,0.0065144000246317,0.007177957
2021-04-28,0.0065138243915233,0.0065319105
2021-04-29,0.0064431391345386,0.006536017
2021-04-30,0.0068105512822813,0.006466452
2021-05-03,0.0064691213936007,0.0068409517
2021-05-04,0.0060812908414877,0.0064984644
2021-05-05,0.0060650284128908,0.006110227
2021-05-06,0.006257515341957,0.0060938923
2021-05-07,0.006364427967161,0.0062893378
2021-05-10,0.0067141528082903,0.006396025
2021-05-11,0.0070200757484588,0.0067530414
2021-05-12,0.0084531339806378,0.0070624277
2021-05-13,0.0088763097820018,0.008511883
2021-05-14,0.0091479544422093,0.008938209
2021-05-17,0.0091264173153168,0.009212613
2021-05-18,0.0092427088002282,0.009192241
2021-05-19,0.0091462958690829,0.009306374
2021-05-20,0.0092141358251079,0.009202933
2021-05-21,0.0089787236077027,0.009267086
2021-05-24,0.0089216284258671,0.009025101
2021-05-25,0.0089275902132855,0.008964702
2021-05-26,0.0089366513925823,0.008970524
2021-05-27,0.0089367209135566,0.008975492
2021-05-28,0.0088123929575649,0.008974728
2021-06-01,0.0086609306384966,0.008845159
2021-06-02,0.0086467598298751,0.008690927
2021-06-03,0.0085502124158749,0.008672563
2021-06-04,0.0087483378626533,0.008570542
2021-06-07,0.0085848443361557,0.008767568
2021-06-08,0.0084310151398993,0.008600938
2021-06-09,0.0081005841722057,0.0084414445
2021-06-10,0.0078744301386373,0.008104853
2021-06-11,0.0059181178514845,0.0078716725
2021-06-14,0.005458078539885,0.005894656
2021-06-15,0.0045921170830098,0.005431892
2021-06-16,0.0047374911325718,0.004562602
2021-06-17,0.0042521959377542,0.0047128345
2021-06-18,0.0052176364906019,0.0042334357
2021-06-21,0.005581492356787,0.005214631
2021-06-22,0.0056485452926337,0.005591908
2021-06-23,0.0052858280805501,0.005666544
2021-06-24,0.0053705267213383,0.0053065633
2021-06-25,0.0053931962571481,0.0053982306
2021-06-28,0.0054012697165454,0.0054229535
2021-06-29,0.0054034149150146,0.005432096
2021-06-30,0.0053931513315771,0.005438196
2021-07-01,0.0054682360996172,0.005431287
2021-07-02,0.0055092258244773,0.0055108364
2021-07-06,0.0053228937919354,0.0055546733
2021-07-07,0.0053196479768566,0.005370788
2021-07-08,0.0057524835208336,0.005371193
2021-07-09,0.0061195420810136,0.0058105025
2021-07-12,0.0060959572632446,0.006182653
2021-07-13,0.0061967127298849,0.0061631375
2021-07-14,0.0061958829272132,0.0062650396
2021-07-15,0.0062354800149494,0.00626577
2021-07-16,0.0063674422352868,0.0063019344
2021-07-19,0.0073855501928369,0.0064326064
2021-07-20,0.0073538158266073,0.0074533266
2021-07-21,0.0069787741155977,0.0074197184
2021-07-22,0.0069308866642665,0.0070361216
2021-07-23,0.0071609842884655,0.0069879093
2021-07-26,0.0071059877021553,0.007215594
2021-07-27,0.0072303771248267,0.007158352
2021-07-28,0.007233870865697,0.007281739
2021-07-29,0.0072592472164953,0.007285515
2021-07-30,0.0074100601230645,0.007308196
2021-08-02,0.0073729161372291,0.0074574715
2021-08-03,0.0074062962099563,0.007417182
2021-08-04,0.0074773866780545,0.007450797
2021-08-05,0.0075468844338328,0.0075206896
2021-08-06,0.0072358865945133,0.0075880247
2021-08-09,0.0068768745802082,0.007270554
2021-08-10,0.0068483214641372,0.0069048433
2021-08-11,0.0067849394851347,0.006874377
2021-08-12,0.0068240301115811,0.006810028
2021-08-13,0.0067565781431296,0.0068491325
2021-08-16,0.006457339904413,0.0067817136
2021-08-17,0.0054546792652295,0.0064783776
2021-08-18,0.0052953380843915,0.0054674875
2021-08-19,0.0050221351674267,0.0053080004
2021-08-20,0.0052826125283006,0.0050338903
2021-08-23,0.0051513074712065,0.0052984045
2021-08-24,0.0051407126960271,0.0051715756
2021-08-25,0.0049968077392165,0.005164609
2021-08-26,0.0052124945641892,0.0050231605
2021-08-27,0.0054537909798395,0.005242642
2021-08-30,0.005295079759121,0.0054884776
2021-08-31,0.0052808934262126,0.0053327926
2021-09-01,0.0050543723220485,0.005321528
2021-09-02,0.0048922831998854,0.0050951755
2021-09-03,0.0047913446410554,0.004933037
2021-09-07,0.0048895160084957,0.004832887
2021-09-08,0.0048972972953176,0.004935446
2021-09-09,0.005041111661741,0.004946684
2021-09-10,0.0053560118022827,0.0050944444
2021-09-13,0.0053021974036682,0.005413478
2021-09-14,0.0054385527603907,0.005360315
2021-09-15,0.0057332449730572,0.005499234
2021-09-16,0.0055137531222711,0.005799196
2021-09-17,0.0053571429808527,0.0055778734
2021-09-20,0.0065669041889567,0.005419451
2021-09-21,0.0062621264863586,0.0066380566
2021-09-22,0.0063396968136868,0.0063288533
2021-09-23,0.0069310667967545,0.0064040213
2021-09-24,0.0069187359439105,0.007001746
2021-09-27,0.0068307588214533,0.006986444
2021-09-28,0.0078157768125861,0.006894481
2021-09-29,0.0077335895062939,0.007887639
2021-09-30,0.0080434137900149,0.0078030727
2021-10-01,0.0085734833332501,0.00811398
2021-10-04,0.0088425800485858,0.008647352
2021-10-05,0.0092812982906546,0.008916816
2021-10-06,0.0093698248414781,0.009356328
2021-10-07,0.0096182368367511,0.00944041
2021-10-08,0.009588584600473,0.009687525
2021-10-11,0.0095604193134153,0.009652022
2021-10-12,0.0095336122697449,0.009615636
2021-10-13,0.0095194857094579,0.009584035
2021-10-14,0.0100959825865302,0.009564694
2021-10-15,0.0102364773800878,0.010143717
2021-10-18,0.0100410599618567,0.010283267
2021-10-19,0.009276304048269,0.010078071
2021-10-20,0.0092661503451433,0.009301155
2021-10-21,0.0091095931303192,0.009286967
2021-10-22,0.0088041470269223,0.00912103
2021-10-25,0.0088413765469927,0.008808342
2021-10-26,0.008795427645377,0.008846347
2021-10-27,0.007399119604432,0.008796279
2021-10-28,0.0075827574304796,0.0073840613
2021-10-29,0.0068218621658522,0.0075678723
2021-11-01,0.006558684825607,0.0067989198
2021-11-02,0.0054697083320678,0.0065341517
2021-11-03,0.0052812681993015,0.0054394873
2021-11-04,0.0052818660329558,0.005253841
2021-11-05,0.0051615621943804,0.005259621
2021-11-08,0.0050601230856894,0.0051441053
2021-11-09,0.0047663358527075,0.0050490736
2021-11-10,0.0052676870039117,0.004765309
2021-11-11,0.0052978530380552,0.0052760434
2021-11-12,0.0043649325613332,0.005311001
2021-11-15,0.0042497055488765,0.004378152
2021-11-16,0.0042577574913917,0.0042681447
2021-11-17,0.0042112941010834,0.00428456
2021-11-18,0.004205421366575,0.004240896
2021-11-19,0.0042487823322119,0.0042413934
2021-11-22,0.0043383685287621,0.004292869
2021-11-23,0.004272350471852,0.0043882723
2021-11-24,0.0042765858406171,0.004325648
2021-11-26,0.0067076902145249,0.0043352377
2021-11-29,0.0069737087177047,0.0067885704
2021-11-30,0.0081844400909359,0.0070618032
2021-12-01,0.0085378854687698,0.008286449
2021-12-02,0.0091098535980393,0.008648313
2021-12-03,0.0091190840958878,0.009220071
2021-12-06,0.0094816281213636,0.009222882
2021-12-07,0.0105386766761058,0.009581742
2021-12-08,0.0105598938771048,0.010645828
2021-12-09,0.010651746456124,0.0106607275
2021-12-10,0.0106834080944551,0.010745388
2021-12-13,0.0108973952488048,0.010772138
2021-12-14,0.0108975617896431,0.01098532
2021-12-15,0.0114929143316489,0.010975293
2021-12-16,0.0116260617638215,0.011572615
2021-12-17,0.0118227264837395,0.011701344
2021-12-20,0.0120086986179612,0.011890173
2021-12-21,0.0127060262054843,0.012071494
2021-12-22,0.0128956854693789,0.012790886
2021-12-23,0.0129604858871103,0.012977521
2021-12-27,0.0132829926514833,0.013032215
2021-12-28,0.0121218999664641,0.013356451
2021-12-29,0.0118487777142714,0.01213769
2021-12-30,0.0109386601386375,0.011845313
2021-12-31,0.0105230847175216,0.010918061
2022-01-03,0.0102318091080225,0.010491954
2022-01-04,0.0099605144933274,0.010199952
2022-01-05,0.0108350697338637,0.0099225845
2022-01-06,0.0098863944265232,0.01081083
2022-01-07,0.0099013080269691,0.009851741
2022-01-10,0.0097777950777625,0.009869398
2022-01-11,0.0097594628604147,0.009747014
2022-01-12,0.0095433714528075,0.009729958
2022-01-13,0.0099419046273448,0.0095116515
2022-01-14,0.0092496376669203,0.009916888
2022-01-18,0.0099109642130537,0.009219081
2022-01-19,0.0098831575671923,0.009890495
2022-01-20,0.0098645334882978,0.009865637
2022-01-21,0.0096700639146511,0.009848058
2022-01-24,0.0093105847497985,0.00965838
2022-01-25,0.0092694020160795,0.009296865
2022-01-26,0.0083743384089458,0.009259052
2022-01-27,0.0083349281840577,0.008357542
2022-01-28,0.0103914439549265,0.008320131
2022-01-31,0.0114896914504022,0.010409208
2022-02-01,0.0116767753311015,0.011523715
2022-02-02,0.0118060988058139,0.011715511
2022-02-03,0.012783357721645,0.011849121
2022-02-04,0.0123344471493182,0.0128571745
2022-02-07,0.0123366727300806,0.012380622
2022-02-08,0.0125394367738714,0.0123742195
2022-02-09,0.0130182242742714,0.012579723
2022-02-10,0.0133378380714031,0.013077961
2022-02-11,0.0137821816559961,0.013404817
2022-02-14,0.0135462720973249,0.013859311
2022-02-15,0.0141135455808711,0.013610248
2022-02-16,0.0136013624648368,0.014192838
2022-02-17,0.0141978520044619,0.013653441
2022-02-18,0.014092779952385,0.01426907
2022-02-22,0.0136625981262913,0.014154699
2022-02-23,0.0141523311453079,0.013696996
2022-02-24,0.0144076247272529,0.014207862
2022-02-25,0.0152440186365974,0.014466762
2022-02-28,0.0152016226208049,0.015328139
2022-03-01,0.0145818246459232,0.015274831
2022-03-02,0.0145654689508298,0.014621176
2022-03-03,0.0144631061450039,0.014599796
2022-03-04,0.014277467671286,0.014484015
2022-03-07,0.014721180472304,0.014281806
2022-03-08,0.0146252000559384,0.014750575
2022-03-09,0.0159350683514971,0.014647608
2022-03-10,0.015752236036208,0.016009727
2022-03-11,0.0153836188187691,0.015817782
